filename,split,path,cluster_id
000000003793.png,train,data\extracted_objects\train\000000003793.png,-1
000000004032.png,train,data\extracted_objects\train\000000004032.png,-1
000000004283.png,train,data\extracted_objects\train\000000004283.png,-1
000000006327.png,train,data\extracted_objects\train\000000006327.png,-1
000000007319.png,train,data\extracted_objects\train\000000007319.png,-1
000000008058.png,train,data\extracted_objects\train\000000008058.png,-1
000000008080.png,train,data\extracted_objects\train\000000008080.png,-1
000000008160.png,train,data\extracted_objects\train\000000008160.png,-1
000000008786.png,train,data\extracted_objects\train\000000008786.png,-1
000000009620.png,train,data\extracted_objects\train\000000009620.png,-1
000000011080.png,train,data\extracted_objects\train\000000011080.png,-1
000000011373.png,train,data\extracted_objects\train\000000011373.png,-1
000000011506.png,train,data\extracted_objects\train\000000011506.png,-1
000000014034.png,train,data\extracted_objects\train\000000014034.png,-1
000000016072.png,train,data\extracted_objects\train\000000016072.png,-1
000000016099.png,train,data\extracted_objects\train\000000016099.png,-1
000000017559.png,train,data\extracted_objects\train\000000017559.png,-1
000000017975.png,train,data\extracted_objects\train\000000017975.png,-1
000000018158.png,train,data\extracted_objects\train\000000018158.png,-1
000000021496.png,train,data\extracted_objects\train\000000021496.png,-1
000000022797.png,train,data\extracted_objects\train\000000022797.png,-1
000000023163.png,train,data\extracted_objects\train\000000023163.png,-1
000000024480.png,train,data\extracted_objects\train\000000024480.png,40
000000026133.png,train,data\extracted_objects\train\000000026133.png,-1
000000026534.png,train,data\extracted_objects\train\000000026534.png,-1
000000028480.png,train,data\extracted_objects\train\000000028480.png,-1
000000030080.png,train,data\extracted_objects\train\000000030080.png,-1
000000031188.png,train,data\extracted_objects\train\000000031188.png,-1
000000032375.png,train,data\extracted_objects\train\000000032375.png,-1
000000033481.png,train,data\extracted_objects\train\000000033481.png,-1
000000034097.png,train,data\extracted_objects\train\000000034097.png,-1
000000035532.png,train,data\extracted_objects\train\000000035532.png,-1
000000036460.png,train,data\extracted_objects\train\000000036460.png,-1
000000036508.png,train,data\extracted_objects\train\000000036508.png,-1
000000037697.png,train,data\extracted_objects\train\000000037697.png,-1
000000037846.png,train,data\extracted_objects\train\000000037846.png,-1
000000038558.png,train,data\extracted_objects\train\000000038558.png,-1
000000039513.png,train,data\extracted_objects\train\000000039513.png,-1
000000039864.png,train,data\extracted_objects\train\000000039864.png,-1
000000041200.png,train,data\extracted_objects\train\000000041200.png,-1
000000041575.png,train,data\extracted_objects\train\000000041575.png,-1
000000043029.png,train,data\extracted_objects\train\000000043029.png,-1
000000043049.png,train,data\extracted_objects\train\000000043049.png,-1
000000043931.png,train,data\extracted_objects\train\000000043931.png,-1
000000043957.png,train,data\extracted_objects\train\000000043957.png,-1
000000045057.png,train,data\extracted_objects\train\000000045057.png,-1
000000045479.png,train,data\extracted_objects\train\000000045479.png,-1
000000047407.png,train,data\extracted_objects\train\000000047407.png,-1
000000047545.png,train,data\extracted_objects\train\000000047545.png,-1
000000047570.png,train,data\extracted_objects\train\000000047570.png,-1
000000050912.png,train,data\extracted_objects\train\000000050912.png,-1
000000053491.png,train,data\extracted_objects\train\000000053491.png,-1
000000053752.png,train,data\extracted_objects\train\000000053752.png,-1
000000054632.png,train,data\extracted_objects\train\000000054632.png,-1
000000055375.png,train,data\extracted_objects\train\000000055375.png,-1
000000055767.png,train,data\extracted_objects\train\000000055767.png,-1
000000056303.png,train,data\extracted_objects\train\000000056303.png,40
000000057194.png,train,data\extracted_objects\train\000000057194.png,-1
000000057542.png,train,data\extracted_objects\train\000000057542.png,-1
000000057750.png,train,data\extracted_objects\train\000000057750.png,-1
000000058597.png,train,data\extracted_objects\train\000000058597.png,-1
000000059532.png,train,data\extracted_objects\train\000000059532.png,-1
000000062833.png,train,data\extracted_objects\train\000000062833.png,-1
000000063104.png,train,data\extracted_objects\train\000000063104.png,-1
000000064016.png,train,data\extracted_objects\train\000000064016.png,-1
000000064186.png,train,data\extracted_objects\train\000000064186.png,-1
000000064470.png,train,data\extracted_objects\train\000000064470.png,-1
000000065087.png,train,data\extracted_objects\train\000000065087.png,-1
000000067941.png,train,data\extracted_objects\train\000000067941.png,-1
000000068162.png,train,data\extracted_objects\train\000000068162.png,-1
000000068881.png,train,data\extracted_objects\train\000000068881.png,-1
000000069051.png,train,data\extracted_objects\train\000000069051.png,-1
000000070588.png,train,data\extracted_objects\train\000000070588.png,-1
000000071126.png,train,data\extracted_objects\train\000000071126.png,542
000000072203.png,train,data\extracted_objects\train\000000072203.png,-1
000000072233.png,train,data\extracted_objects\train\000000072233.png,-1
000000076245.png,train,data\extracted_objects\train\000000076245.png,-1
000000077899.png,train,data\extracted_objects\train\000000077899.png,-1
000000078274.png,train,data\extracted_objects\train\000000078274.png,-1
000000080434.png,train,data\extracted_objects\train\000000080434.png,-1
000000081474.png,train,data\extracted_objects\train\000000081474.png,-1
000000081906.png,train,data\extracted_objects\train\000000081906.png,-1
000000083565.png,train,data\extracted_objects\train\000000083565.png,-1
000000083787.png,train,data\extracted_objects\train\000000083787.png,-1
000000086215.png,train,data\extracted_objects\train\000000086215.png,-1
000000086877.png,train,data\extracted_objects\train\000000086877.png,-1
