filename,split,cluster_id
000000003793.png,train,-1
000000004032.png,train,-1
000000004283.png,train,-1
000000006327.png,train,-1
000000007319.png,train,-1
000000008058.png,train,-1
000000008080.png,train,-1
000000008160.png,train,-1
000000008786.png,train,-1
000000009620.png,train,-1
000000011080.png,train,-1
000000011373.png,train,-1
000000011506.png,train,-1
000000014034.png,train,-1
000000016072.png,train,-1
000000016099.png,train,-1
000000017559.png,train,-1
000000017975.png,train,-1
000000018158.png,train,-1
000000021496.png,train,-1
000000022797.png,train,-1
000000023163.png,train,-1
000000024480.png,train,40
000000026133.png,train,-1
000000026534.png,train,-1
000000028480.png,train,-1
000000030080.png,train,-1
000000031188.png,train,-1
000000032375.png,train,-1
000000033481.png,train,-1
000000034097.png,train,-1
000000035532.png,train,-1
000000036460.png,train,-1
000000036508.png,train,-1
000000037697.png,train,-1
000000037846.png,train,-1
000000038558.png,train,-1
000000039513.png,train,-1
000000039864.png,train,-1
000000041200.png,train,-1
000000041575.png,train,-1
000000043029.png,train,-1
000000043049.png,train,-1
000000043931.png,train,-1
000000043957.png,train,-1
000000045057.png,train,-1
000000045479.png,train,-1
000000047407.png,train,-1
000000047545.png,train,-1
000000047570.png,train,-1
000000050912.png,train,-1
000000053491.png,train,-1
000000053752.png,train,-1
000000054632.png,train,-1
000000055375.png,train,-1
000000055767.png,train,-1
000000056303.png,train,40
000000057194.png,train,-1
000000057542.png,train,-1
000000057750.png,train,-1
000000058597.png,train,-1
000000059532.png,train,-1
000000062833.png,train,-1
000000063104.png,train,-1
000000064016.png,train,-1
000000064186.png,train,-1
000000064470.png,train,-1
000000065087.png,train,-1
000000067941.png,train,-1
000000068162.png,train,-1
000000068881.png,train,-1
000000069051.png,train,-1
000000070588.png,train,-1
000000071126.png,train,542
000000072203.png,train,-1
000000072233.png,train,-1
000000076245.png,train,-1
000000077899.png,train,-1
000000078274.png,train,-1
000000080434.png,train,-1
000000081474.png,train,-1
000000081906.png,train,-1
000000083565.png,train,-1
000000083787.png,train,-1
000000086215.png,train,-1
000000086877.png,train,-1
000000087518.png,train,-1
000000089087.png,train,-1
000000089248.png,train,-1
000000090244.png,train,-1
000000090319.png,train,-1
000000091154.png,train,-1
000000091839.png,train,-1
000000092402.png,train,-1
000000095808.png,train,-1
000000095939.png,train,-1
000000096557.png,train,-1
000000098054.png,train,-1
000000098095.png,train,-1
000000098656.png,train,38
000000098720.png,train,-1
000000098739.png,train,-1
000000099874.png,train,-1
000000101426.png,train,94
000000102872.png,train,-1
